party,per_2019,per_2014,state
INC,11.83%,9.86%,"NCT OF Delhi"
INC,11.83%,8.79%,Telangana
INC,11.83%,7.87%,"West Bengal"
INC,11.83%,5.15%,"Uttar Pradesh"
INC,11.83%,3.18%,"Tamil Nadu"
INC,11.83%,1.94%,Sikkim
AAAP,10.97%,21.42%,"NCT OF Delhi"
AAAP,10.97%,17.67%,Chandigarh
AAAP,10.97%,17.20%,Punjab
AAAP,10.97%,3.03%,Haryana
AAAP,10.97%,2.56%,Goa
AAAP,10.97%,1.69%,Mizoram
AAAP,10.97%,1.42%,Kerala
AAAP,10.97%,1.39%,"Andaman & Nicobar Islands"
AAAP,10.97%,1.35%,Maharashtra
AAAP,10.97%,1.32%,"Himachal Pradesh"
AAAP,10.97%,0.99%,Uttarakhand
AAAP,10.97%,0.92%,Puducherry
AAAP,10.97%,0.90%,Meghalaya
AAAP,10.97%,0.82%,"Arunachal Pradesh"
AAAP,10.97%,0.81%,Gujarat
AAAP,10.97%,0.73%,"Madhya Pradesh"
AAAP,10.97%,0.72%,Rajasthan
AAAP,10.97%,0.69%,Sikkim
AAAP,10.97%,0.65%,"Daman & Diu"
AAAP,10.97%,0.62%,"Uttar Pradesh"
AAAP,10.97%,0.59%,Jharkhand
AAAP,10.97%,0.59%,"Tamil Nadu"
AAAP,10.97%,0.55%,Karnataka
AAAP,10.97%,0.54%,Bihar
AAAP,10.97%,0.43%,Manipur
AAAP,10.97%,0.41%,Tripura
AAAP,10.97%,0.32%,"Dadra & Nagar Haveli"
AAAP,10.97%,0.30%,Telangana
AAAP,10.97%,0.26%,"Jammu & Kashmir"
AAAP,10.97%,0.25%,Assam
AAAP,10.97%,0.21%,"West Bengal"
RJD,10.93%,16.82%,Bihar
RJD,10.93%,12.91%,Jharkhand
RJD,10.93%,0.24%,Telangana
LIP,9.96%,NULL,NULL
BSP,9.76%,11.46%,"Uttar Pradesh"
BSP,9.76%,3.27%,Haryana
BSP,9.76%,2.92%,Uttarakhand
BSP,9.76%,2.59%,Chandigarh
BSP,9.76%,2.34%,"Madhya Pradesh"
BSP,9.76%,1.60%,Rajasthan
BSP,9.76%,1.57%,Maharashtra
BSP,9.76%,1.34%,Punjab
BSP,9.76%,1.20%,Bihar
BSP,9.76%,0.93%,"Jammu & Kashmir"
BSP,9.76%,0.80%,"NCT OF Delhi"
BSP,9.76%,0.69%,Jharkhand
BSP,9.76%,0.65%,Gujarat
BSP,9.76%,0.64%,Telangana
BSP,9.76%,0.57%,Karnataka
BSP,9.76%,0.50%,"Dadra & Nagar Haveli"
BSP,9.76%,0.48%,"Himachal Pradesh"
BSP,9.76%,0.45%,"West Bengal"
BSP,9.76%,0.44%,"Daman & Diu"
BSP,9.76%,0.42%,"Andaman & Nicobar Islands"
BSP,9.76%,0.29%,Kerala
BSP,9.76%,0.28%,"Tamil Nadu"
BSP,9.76%,0.23%,Puducherry
IND,9.74%,29.10%,Mizoram
IND,9.74%,6.14%,Meghalaya
IND,9.74%,1.73%,Assam
IND,9.74%,1.36%,Kerala
IND,9.74%,1.19%,Manipur
IND,9.74%,0.90%,Rajasthan
IND,9.74%,0.56%,Bihar
IND,9.74%,0.53%,Goa
IND,9.74%,0.53%,"Arunachal Pradesh"
IND,9.74%,0.49%,"Jammu & Kashmir"
IND,9.74%,0.47%,"Dadra & Nagar Haveli"
IND,9.74%,0.38%,"West Bengal"
IND,9.74%,0.37%,Tripura
IND,9.74%,0.36%,Jharkhand
IND,9.74%,0.28%,Punjab
IND,9.74%,0.26%,"Andaman & Nicobar Islands"
IND,9.74%,0.26%,"NCT OF Delhi"
IND,9.74%,0.26%,"Madhya Pradesh"
IND,9.74%,0.25%,Telangana
IND,9.74%,0.22%,Gujarat
IND,9.74%,0.22%,"Uttar Pradesh"
IND,9.74%,0.21%,"Himachal Pradesh"
IND,9.74%,0.21%,Maharashtra
IND,9.74%,0.19%,Uttarakhand
IND,9.74%,0.17%,Chandigarh
IND,9.74%,0.16%,Puducherry
IND,9.74%,0.15%,Karnataka
IND,9.74%,0.12%,"Tamil Nadu"
IND,9.74%,0.10%,Haryana
IND,9.71%,29.10%,Mizoram
IND,9.71%,6.14%,Meghalaya
IND,9.71%,1.73%,Assam
IND,9.71%,1.36%,Kerala
IND,9.71%,1.19%,Manipur
IND,9.71%,0.90%,Rajasthan
IND,9.71%,0.56%,Bihar
IND,9.71%,0.53%,Goa
IND,9.71%,0.53%,"Arunachal Pradesh"
IND,9.71%,0.49%,"Jammu & Kashmir"
IND,9.71%,0.47%,"Dadra & Nagar Haveli"
IND,9.71%,0.38%,"West Bengal"
IND,9.71%,0.37%,Tripura
IND,9.71%,0.36%,Jharkhand
IND,9.71%,0.28%,Punjab
IND,9.71%,0.26%,"Andaman & Nicobar Islands"
IND,9.71%,0.26%,"NCT OF Delhi"
IND,9.71%,0.26%,"Madhya Pradesh"
IND,9.71%,0.25%,Telangana
IND,9.71%,0.22%,Gujarat
IND,9.71%,0.22%,"Uttar Pradesh"
IND,9.71%,0.21%,"Himachal Pradesh"
IND,9.71%,0.21%,Maharashtra
IND,9.71%,0.19%,Uttarakhand
IND,9.71%,0.17%,Chandigarh
IND,9.71%,0.16%,Puducherry
IND,9.71%,0.15%,Karnataka
IND,9.71%,0.12%,"Tamil Nadu"
IND,9.71%,0.10%,Haryana
NAWPP,9.29%,NULL,NULL
JMM,9.08%,21.07%,Jharkhand
JMM,9.08%,1.59%,Bihar
JMM,9.08%,1.32%,Assam
JMM,9.08%,0.59%,"West Bengal"
VSIP,8.99%,NULL,NULL
MSHP,8.43%,NULL,NULL
CPI,7.75%,27.01%,Kerala
CPI,7.75%,26.14%,"West Bengal"
CPI,7.75%,23.08%,Manipur
CPI,7.75%,13.03%,Telangana
CPI,7.75%,12.42%,Bihar
CPI,7.75%,2.43%,Assam
CPI,7.75%,1.98%,"Tamil Nadu"
CPI,7.75%,1.90%,Jharkhand
CPI,7.75%,1.41%,Puducherry
CPI,7.75%,1.27%,Rajasthan
CPI,7.75%,1.15%,"Madhya Pradesh"
CPI,7.75%,0.95%,Goa
CPI,7.75%,0.94%,"Uttar Pradesh"
CPI,7.75%,0.86%,Maharashtra
CPI,7.75%,0.82%,Gujarat
CPI,7.75%,0.76%,Meghalaya
CPI,7.75%,0.74%,Punjab
CPI,7.75%,0.65%,Haryana
CPI,7.75%,0.64%,Karnataka
CPI,7.75%,0.51%,Uttarakhand
CPI,7.75%,0.36%,Lakshadweep
CPI,7.75%,0.26%,"NCT OF Delhi"
CPI(ML)(L),7.52%,2.72%,Jharkhand
CPI(ML)(L),7.52%,1.27%,Bihar
CPI(ML)(L),7.52%,0.70%,Assam
CPI(ML)(L),7.52%,0.64%,Gujarat
CPI(ML)(L),7.52%,0.47%,"West Bengal"
CPI(ML)(L),7.52%,0.36%,Tripura
CPI(ML)(L),7.52%,0.32%,Chandigarh
CPI(ML)(L),7.52%,0.28%,Uttarakhand
CPI(ML)(L),7.52%,0.26%,Punjab
CPI(ML)(L),7.52%,0.23%,Telangana
CPI(ML)(L),7.52%,0.22%,"Uttar Pradesh"
CPI(ML)(L),7.52%,0.18%,Rajasthan
CPI(ML)(L),7.52%,0.17%,"Tamil Nadu"
CPI(ML)(L),7.52%,0.16%,"Andaman & Nicobar Islands"
CPI(ML)(L),7.52%,0.13%,Karnataka
CPI(ML)(L),7.52%,0.05%,Puducherry
JD(S),7.45%,26.14%,Kerala
JD(S),7.45%,8.18%,Karnataka
JD(S),7.45%,0.21%,Maharashtra
JD(S),7.45%,0.16%,"Tamil Nadu"
JD(S),7.45%,0.06%,Telangana
BDJS,7.41%,NULL,NULL
JKN,6.99%,10.72%,"Jammu & Kashmir"
JnP,6.86%,NULL,NULL
PUNEKP,6.18%,NULL,NULL
CPIM,6.05%,0.90%,Jharkhand
CPIM,6.05%,0.41%,Punjab
CPIM,6.05%,0.17%,Karnataka
CPIM,6.05%,0.16%,"Madhya Pradesh"
CPIM,6.05%,0.13%,"Uttar Pradesh"
CPIM,6.05%,0.12%,Kerala
CPIM,6.05%,0.11%,Maharashtra
CPIM,6.05%,0.10%,"West Bengal"
CPIM,6.05%,0.08%,"Tamil Nadu"
NPEP,5.85%,40.80%,Meghalaya
NPEP,5.85%,5.02%,Rajasthan
NPEP,5.85%,0.35%,"Madhya Pradesh"
JDL,5.82%,NULL,NULL
BJP,5.66%,41.99%,"Daman & Diu"
BJP,5.66%,41.17%,Goa
BJP,5.66%,41.09%,"Dadra & Nagar Haveli"
BJP,5.66%,37.56%,Gujarat
BJP,5.66%,36.26%,"Arunachal Pradesh"
BJP,5.66%,34.64%,Rajasthan
BJP,5.66%,34.37%,"Himachal Pradesh"
BJP,5.66%,34.09%,Uttarakhand
BJP,5.66%,33.77%,"Andaman & Nicobar Islands"
BJP,5.66%,33.28%,"Madhya Pradesh"
BJP,5.66%,33.00%,Maharashtra
BJP,5.66%,31.77%,Assam
BJP,5.66%,31.10%,Chandigarh
BJP,5.66%,30.91%,Haryana
BJP,5.66%,30.20%,"NCT OF Delhi"
BJP,5.66%,28.89%,Karnataka
BJP,5.66%,27.09%,Punjab
BJP,5.66%,25.59%,Jharkhand
BJP,5.66%,25.35%,"Uttar Pradesh"
BJP,5.66%,22.07%,Bihar
BJP,5.66%,21.70%,Telangana
BJP,5.66%,16.88%,"Tamil Nadu"
BJP,5.66%,16.07%,"Jammu & Kashmir"
BJP,5.66%,13.83%,"West Bengal"
BJP,5.66%,9.79%,Meghalaya
BJP,5.66%,9.48%,Manipur
BJP,5.66%,8.48%,Kerala
BJP,5.66%,4.83%,Tripura
BJP,5.66%,1.96%,Sikkim
BJP,5.66%,0.37%,Lakshadweep
JAPL,5.18%,NULL,NULL
JNJP,5.07%,NULL,NULL
AAAP,4.86%,21.42%,"NCT OF Delhi"
AAAP,4.86%,17.67%,Chandigarh
AAAP,4.86%,17.20%,Punjab
AAAP,4.86%,3.03%,Haryana
AAAP,4.86%,2.56%,Goa
AAAP,4.86%,1.69%,Mizoram
AAAP,4.86%,1.42%,Kerala
AAAP,4.86%,1.39%,"Andaman & Nicobar Islands"
AAAP,4.86%,1.35%,Maharashtra
AAAP,4.86%,1.32%,"Himachal Pradesh"
AAAP,4.86%,0.99%,Uttarakhand
AAAP,4.86%,0.92%,Puducherry
AAAP,4.86%,0.90%,Meghalaya
AAAP,4.86%,0.82%,"Arunachal Pradesh"
AAAP,4.86%,0.81%,Gujarat
AAAP,4.86%,0.73%,"Madhya Pradesh"
AAAP,4.86%,0.72%,Rajasthan
AAAP,4.86%,0.69%,Sikkim
AAAP,4.86%,0.65%,"Daman & Diu"
AAAP,4.86%,0.62%,"Uttar Pradesh"
AAAP,4.86%,0.59%,Jharkhand
AAAP,4.86%,0.59%,"Tamil Nadu"
AAAP,4.86%,0.55%,Karnataka
AAAP,4.86%,0.54%,Bihar
AAAP,4.86%,0.43%,Manipur
AAAP,4.86%,0.41%,Tripura
AAAP,4.86%,0.32%,"Dadra & Nagar Haveli"
AAAP,4.86%,0.30%,Telangana
AAAP,4.86%,0.26%,"Jammu & Kashmir"
AAAP,4.86%,0.25%,Assam
AAAP,4.86%,0.21%,"West Bengal"
INC,4.83%,40.32%,Lakshadweep
INC,4.83%,37.93%,"Dadra & Nagar Haveli"
INC,4.83%,33.75%,"Daman & Diu"
INC,4.83%,33.19%,Manipur
INC,4.83%,32.41%,"Arunachal Pradesh"
INC,4.83%,30.87%,"Andaman & Nicobar Islands"
INC,4.83%,30.45%,Kerala
INC,4.83%,29.98%,Mizoram
INC,4.83%,28.16%,Goa
INC,4.83%,27.41%,Karnataka
INC,4.83%,26.47%,Nagaland
INC,4.83%,26.21%,"Himachal Pradesh"
INC,4.83%,26.09%,Meghalaya
INC,4.83%,25.77%,Assam
INC,4.83%,23.41%,"Jammu & Kashmir"
INC,4.83%,23.34%,Punjab
INC,4.83%,21.72%,Gujarat
INC,4.83%,21.63%,Puducherry
INC,4.83%,21.49%,"Madhya Pradesh"
INC,4.83%,20.97%,Uttarakhand
INC,4.83%,20.59%,Maharashtra
INC,4.83%,19.79%,Chandigarh
INC,4.83%,19.14%,Rajasthan
INC,4.83%,16.37%,Haryana
INC,4.83%,15.57%,Bihar
INC,4.83%,13.28%,Jharkhand
INC,4.83%,12.88%,Tripura
INC,4.83%,9.86%,"NCT OF Delhi"
INC,4.83%,8.79%,Telangana
INC,4.83%,7.87%,"West Bengal"
INC,4.83%,5.15%,"Uttar Pradesh"
INC,4.83%,3.18%,"Tamil Nadu"
INC,4.83%,1.94%,Sikkim
ASDC,4.64%,NULL,NULL
AIFB,4.62%,24.05%,"West Bengal"
AIFB,4.62%,0.44%,Jharkhand
AIFB,4.62%,0.31%,Assam
AIFB,4.62%,0.26%,Bihar
AIFB,4.62%,0.23%,"Madhya Pradesh"
AIFB,4.62%,0.11%,"Uttar Pradesh"
AIFB,4.62%,0.10%,Maharashtra
AIFB,4.62%,0.08%,"Andaman & Nicobar Islands"
AIFB,4.62%,0.08%,Haryana
AIFB,4.62%,0.07%,Punjab
AIFB,4.62%,0.06%,"Jammu & Kashmir"
AIFB,4.62%,0.06%,Telangana
AIFB,4.62%,0.03%,Rajasthan
AIFB,4.62%,0.03%,Karnataka
AIFB,4.62%,0.02%,"NCT OF Delhi"
INC,4.43%,40.32%,Lakshadweep
INC,4.43%,37.93%,"Dadra & Nagar Haveli"
INC,4.43%,33.75%,"Daman & Diu"
INC,4.43%,33.19%,Manipur
INC,4.43%,32.41%,"Arunachal Pradesh"
INC,4.43%,30.87%,"Andaman & Nicobar Islands"
INC,4.43%,30.45%,Kerala
INC,4.43%,29.98%,Mizoram
INC,4.43%,28.16%,Goa
INC,4.43%,27.41%,Karnataka
INC,4.43%,26.47%,Nagaland
INC,4.43%,26.21%,"Himachal Pradesh"
INC,4.43%,26.09%,Meghalaya
INC,4.43%,25.77%,Assam
INC,4.43%,23.41%,"Jammu & Kashmir"
INC,4.43%,23.34%,Punjab
INC,4.43%,21.72%,Gujarat
INC,4.43%,21.63%,Puducherry
INC,4.43%,21.49%,"Madhya Pradesh"
INC,4.43%,20.97%,Uttarakhand
INC,4.43%,20.59%,Maharashtra
INC,4.43%,19.79%,Chandigarh
INC,4.43%,19.14%,Rajasthan
INC,4.43%,16.37%,Haryana
INC,4.43%,15.57%,Bihar
INC,4.43%,13.28%,Jharkhand
INC,4.43%,12.88%,Tripura
INC,4.43%,9.86%,"NCT OF Delhi"
INC,4.43%,8.79%,Telangana
INC,4.43%,7.87%,"West Bengal"
INC,4.43%,5.15%,"Uttar Pradesh"
INC,4.43%,3.18%,"Tamil Nadu"
INC,4.43%,1.94%,Sikkim
CPI,4.42%,27.01%,Kerala
CPI,4.42%,26.14%,"West Bengal"
CPI,4.42%,23.08%,Manipur
CPI,4.42%,13.03%,Telangana
CPI,4.42%,12.42%,Bihar
CPI,4.42%,2.43%,Assam
CPI,4.42%,1.98%,"Tamil Nadu"
CPI,4.42%,1.90%,Jharkhand
CPI,4.42%,1.41%,Puducherry
CPI,4.42%,1.27%,Rajasthan
CPI,4.42%,1.15%,"Madhya Pradesh"
CPI,4.42%,0.95%,Goa
CPI,4.42%,0.94%,"Uttar Pradesh"
CPI,4.42%,0.86%,Maharashtra
CPI,4.42%,0.82%,Gujarat
CPI,4.42%,0.76%,Meghalaya
CPI,4.42%,0.74%,Punjab
CPI,4.42%,0.65%,Haryana
CPI,4.42%,0.64%,Karnataka
CPI,4.42%,0.51%,Uttarakhand
CPI,4.42%,0.36%,Lakshadweep
CPI,4.42%,0.26%,"NCT OF Delhi"
VBA,4.31%,NULL,NULL
TJS,4.01%,NULL,NULL
BTP,3.93%,NULL,NULL
MNM,3.91%,NULL,NULL
CPI,3.89%,27.01%,Kerala
CPI,3.89%,26.14%,"West Bengal"
CPI,3.89%,23.08%,Manipur
CPI,3.89%,13.03%,Telangana
CPI,3.89%,12.42%,Bihar
CPI,3.89%,2.43%,Assam
CPI,3.89%,1.98%,"Tamil Nadu"
CPI,3.89%,1.90%,Jharkhand
CPI,3.89%,1.41%,Puducherry
CPI,3.89%,1.27%,Rajasthan
CPI,3.89%,1.15%,"Madhya Pradesh"
CPI,3.89%,0.95%,Goa
CPI,3.89%,0.94%,"Uttar Pradesh"
CPI,3.89%,0.86%,Maharashtra
CPI,3.89%,0.82%,Gujarat
CPI,3.89%,0.76%,Meghalaya
CPI,3.89%,0.74%,Punjab
CPI,3.89%,0.65%,Haryana
CPI,3.89%,0.64%,Karnataka
CPI,3.89%,0.51%,Uttarakhand
CPI,3.89%,0.36%,Lakshadweep
CPI,3.89%,0.26%,"NCT OF Delhi"
BJP,3.82%,41.99%,"Daman & Diu"
BJP,3.82%,41.17%,Goa
BJP,3.82%,41.09%,"Dadra & Nagar Haveli"
BJP,3.82%,37.56%,Gujarat
BJP,3.82%,36.26%,"Arunachal Pradesh"
BJP,3.82%,34.64%,Rajasthan
BJP,3.82%,34.37%,"Himachal Pradesh"
BJP,3.82%,34.09%,Uttarakhand
BJP,3.82%,33.77%,"Andaman & Nicobar Islands"
BJP,3.82%,33.28%,"Madhya Pradesh"
BJP,3.82%,33.00%,Maharashtra
BJP,3.82%,31.77%,Assam
BJP,3.82%,31.10%,Chandigarh
BJP,3.82%,30.91%,Haryana
BJP,3.82%,30.20%,"NCT OF Delhi"
BJP,3.82%,28.89%,Karnataka
BJP,3.82%,27.09%,Punjab
BJP,3.82%,25.59%,Jharkhand
BJP,3.82%,25.35%,"Uttar Pradesh"
BJP,3.82%,22.07%,Bihar
BJP,3.82%,21.70%,Telangana
BJP,3.82%,16.88%,"Tamil Nadu"
BJP,3.82%,16.07%,"Jammu & Kashmir"
BJP,3.82%,13.83%,"West Bengal"
BJP,3.82%,9.79%,Meghalaya
BJP,3.82%,9.48%,Manipur
BJP,3.82%,8.48%,Kerala
BJP,3.82%,4.83%,Tripura
BJP,3.82%,1.96%,Sikkim
BJP,3.82%,0.37%,Lakshadweep
BJP,3.62%,41.99%,"Daman & Diu"
BJP,3.62%,41.17%,Goa
BJP,3.62%,41.09%,"Dadra & Nagar Haveli"
BJP,3.62%,37.56%,Gujarat
BJP,3.62%,36.26%,"Arunachal Pradesh"
BJP,3.62%,34.64%,Rajasthan
BJP,3.62%,34.37%,"Himachal Pradesh"
BJP,3.62%,34.09%,Uttarakhand
BJP,3.62%,33.77%,"Andaman & Nicobar Islands"
BJP,3.62%,33.28%,"Madhya Pradesh"
BJP,3.62%,33.00%,Maharashtra
BJP,3.62%,31.77%,Assam
BJP,3.62%,31.10%,Chandigarh
BJP,3.62%,30.91%,Haryana
BJP,3.62%,30.20%,"NCT OF Delhi"
BJP,3.62%,28.89%,Karnataka
BJP,3.62%,27.09%,Punjab
BJP,3.62%,25.59%,Jharkhand
BJP,3.62%,25.35%,"Uttar Pradesh"
BJP,3.62%,22.07%,Bihar
BJP,3.62%,21.70%,Telangana
BJP,3.62%,16.88%,"Tamil Nadu"
BJP,3.62%,16.07%,"Jammu & Kashmir"
BJP,3.62%,13.83%,"West Bengal"
BJP,3.62%,9.79%,Meghalaya
BJP,3.62%,9.48%,Manipur
BJP,3.62%,8.48%,Kerala
BJP,3.62%,4.83%,Tripura
BJP,3.62%,1.96%,Sikkim
BJP,3.62%,0.37%,Lakshadweep
PPA,3.45%,6.19%,"Arunachal Pradesh"
INC,3.44%,40.32%,Lakshadweep
INC,3.44%,37.93%,"Dadra & Nagar Haveli"
INC,3.44%,33.75%,"Daman & Diu"
INC,3.44%,33.19%,Manipur
INC,3.44%,32.41%,"Arunachal Pradesh"
INC,3.44%,30.87%,"Andaman & Nicobar Islands"
INC,3.44%,30.45%,Kerala
INC,3.44%,29.98%,Mizoram
INC,3.44%,28.16%,Goa
INC,3.44%,27.41%,Karnataka
INC,3.44%,26.47%,Nagaland
INC,3.44%,26.21%,"Himachal Pradesh"
INC,3.44%,26.09%,Meghalaya
INC,3.44%,25.77%,Assam
INC,3.44%,23.41%,"Jammu & Kashmir"
INC,3.44%,23.34%,Punjab
INC,3.44%,21.72%,Gujarat
INC,3.44%,21.63%,Puducherry
INC,3.44%,21.49%,"Madhya Pradesh"
INC,3.44%,20.97%,Uttarakhand
INC,3.44%,20.59%,Maharashtra
INC,3.44%,19.79%,Chandigarh
INC,3.44%,19.14%,Rajasthan
INC,3.44%,16.37%,Haryana
INC,3.44%,15.57%,Bihar
INC,3.44%,13.28%,Jharkhand
INC,3.44%,12.88%,Tripura
INC,3.44%,9.86%,"NCT OF Delhi"
INC,3.44%,8.79%,Telangana
INC,3.44%,7.87%,"West Bengal"
INC,3.44%,5.15%,"Uttar Pradesh"
INC,3.44%,3.18%,"Tamil Nadu"
INC,3.44%,1.94%,Sikkim
IPFT,3.42%,0.89%,Tripura
BSP,3.33%,11.46%,"Uttar Pradesh"
BSP,3.33%,3.27%,Haryana
BSP,3.33%,2.92%,Uttarakhand
BSP,3.33%,2.59%,Chandigarh
BSP,3.33%,2.34%,"Madhya Pradesh"
BSP,3.33%,1.60%,Rajasthan
BSP,3.33%,1.57%,Maharashtra
BSP,3.33%,1.34%,Punjab
BSP,3.33%,1.20%,Bihar
BSP,3.33%,0.93%,"Jammu & Kashmir"
BSP,3.33%,0.80%,"NCT OF Delhi"
BSP,3.33%,0.69%,Jharkhand
BSP,3.33%,0.65%,Gujarat
BSP,3.33%,0.64%,Telangana
BSP,3.33%,0.57%,Karnataka
BSP,3.33%,0.50%,"Dadra & Nagar Haveli"
BSP,3.33%,0.48%,"Himachal Pradesh"
BSP,3.33%,0.45%,"West Bengal"
BSP,3.33%,0.44%,"Daman & Diu"
BSP,3.33%,0.42%,"Andaman & Nicobar Islands"
BSP,3.33%,0.29%,Kerala
BSP,3.33%,0.28%,"Tamil Nadu"
BSP,3.33%,0.23%,Puducherry
JPC,3.33%,5.98%,"Jammu & Kashmir"
RSP,3.27%,33.50%,Kerala
RSP,3.27%,22.27%,"West Bengal"
RSP,3.27%,0.11%,Telangana
BSP,3.11%,11.46%,"Uttar Pradesh"
BSP,3.11%,3.27%,Haryana
BSP,3.11%,2.92%,Uttarakhand
BSP,3.11%,2.59%,Chandigarh
BSP,3.11%,2.34%,"Madhya Pradesh"
BSP,3.11%,1.60%,Rajasthan
BSP,3.11%,1.57%,Maharashtra
BSP,3.11%,1.34%,Punjab
BSP,3.11%,1.20%,Bihar
BSP,3.11%,0.93%,"Jammu & Kashmir"
BSP,3.11%,0.80%,"NCT OF Delhi"
BSP,3.11%,0.69%,Jharkhand
BSP,3.11%,0.65%,Gujarat
BSP,3.11%,0.64%,Telangana
BSP,3.11%,0.57%,Karnataka
BSP,3.11%,0.50%,"Dadra & Nagar Haveli"
BSP,3.11%,0.48%,"Himachal Pradesh"
BSP,3.11%,0.45%,"West Bengal"
BSP,3.11%,0.44%,"Daman & Diu"
BSP,3.11%,0.42%,"Andaman & Nicobar Islands"
BSP,3.11%,0.29%,Kerala
BSP,3.11%,0.28%,"Tamil Nadu"
BSP,3.11%,0.23%,Puducherry
JKPDP,3.10%,10.44%,"Jammu & Kashmir"
NPEP,3.01%,40.80%,Meghalaya
NPEP,3.01%,5.02%,Rajasthan
NPEP,3.01%,0.35%,"Madhya Pradesh"
NTK,2.85%,NULL,NULL
MNM,2.84%,NULL,NULL
PDP,2.83%,NULL,NULL
CPI,2.78%,27.01%,Kerala
CPI,2.78%,26.14%,"West Bengal"
CPI,2.78%,23.08%,Manipur
CPI,2.78%,13.03%,Telangana
CPI,2.78%,12.42%,Bihar
CPI,2.78%,2.43%,Assam
CPI,2.78%,1.98%,"Tamil Nadu"
CPI,2.78%,1.90%,Jharkhand
CPI,2.78%,1.41%,Puducherry
CPI,2.78%,1.27%,Rajasthan
CPI,2.78%,1.15%,"Madhya Pradesh"
CPI,2.78%,0.95%,Goa
CPI,2.78%,0.94%,"Uttar Pradesh"
CPI,2.78%,0.86%,Maharashtra
CPI,2.78%,0.82%,Gujarat
CPI,2.78%,0.76%,Meghalaya
CPI,2.78%,0.74%,Punjab
CPI,2.78%,0.65%,Haryana
CPI,2.78%,0.64%,Karnataka
CPI,2.78%,0.51%,Uttarakhand
CPI,2.78%,0.36%,Lakshadweep
CPI,2.78%,0.26%,"NCT OF Delhi"
SDPI,2.72%,1.74%,Karnataka
SDPI,2.72%,1.13%,Kerala
SDPI,2.72%,0.98%,"Tamil Nadu"
SDPI,2.72%,0.84%,"West Bengal"
SDPI,2.72%,0.28%,"Madhya Pradesh"
CPIM,2.65%,0.90%,Jharkhand
CPIM,2.65%,0.41%,Punjab
CPIM,2.65%,0.17%,Karnataka
CPIM,2.65%,0.16%,"Madhya Pradesh"
CPIM,2.65%,0.13%,"Uttar Pradesh"
CPIM,2.65%,0.12%,Kerala
CPIM,2.65%,0.11%,Maharashtra
CPIM,2.65%,0.10%,"West Bengal"
CPIM,2.65%,0.08%,"Tamil Nadu"
JD(U),2.43%,9.36%,Bihar
JD(U),2.43%,1.28%,Rajasthan
JD(U),2.43%,1.12%,Jharkhand
JD(U),2.43%,0.77%,"Madhya Pradesh"
JD(U),2.43%,0.54%,Gujarat
JD(U),2.43%,0.33%,Maharashtra
JD(U),2.43%,0.25%,Telangana
JD(U),2.43%,0.24%,"Uttar Pradesh"
JD(U),2.43%,0.19%,Punjab
JD(U),2.43%,0.15%,"West Bengal"
JD(U),2.43%,0.12%,Manipur
JD(U),2.43%,0.12%,"Dadra & Nagar Haveli"
JD(U),2.43%,0.12%,Karnataka
JD(U),2.43%,0.10%,Kerala
JD(U),2.43%,0.07%,Chandigarh
JD(U),2.43%,0.06%,Haryana
JD(U),2.43%,0.03%,Puducherry
JD(U),2.43%,0.02%,"Tamil Nadu"
CPI,2.42%,27.01%,Kerala
CPI,2.42%,26.14%,"West Bengal"
CPI,2.42%,23.08%,Manipur
CPI,2.42%,13.03%,Telangana
CPI,2.42%,12.42%,Bihar
CPI,2.42%,2.43%,Assam
CPI,2.42%,1.98%,"Tamil Nadu"
CPI,2.42%,1.90%,Jharkhand
CPI,2.42%,1.41%,Puducherry
CPI,2.42%,1.27%,Rajasthan
CPI,2.42%,1.15%,"Madhya Pradesh"
CPI,2.42%,0.95%,Goa
CPI,2.42%,0.94%,"Uttar Pradesh"
CPI,2.42%,0.86%,Maharashtra
CPI,2.42%,0.82%,Gujarat
CPI,2.42%,0.76%,Meghalaya
CPI,2.42%,0.74%,Punjab
CPI,2.42%,0.65%,Haryana
CPI,2.42%,0.64%,Karnataka
CPI,2.42%,0.51%,Uttarakhand
CPI,2.42%,0.36%,Lakshadweep
CPI,2.42%,0.26%,"NCT OF Delhi"
SP,2.37%,13.27%,"Uttar Pradesh"
SP,2.37%,1.20%,"West Bengal"
SP,2.37%,1.18%,"Madhya Pradesh"
SP,2.37%,0.98%,Lakshadweep
SP,2.37%,0.54%,Jharkhand
SP,2.37%,0.51%,Bihar
SP,2.37%,0.39%,Uttarakhand
SP,2.37%,0.25%,Assam
SP,2.37%,0.19%,Rajasthan
SP,2.37%,0.19%,Maharashtra
SP,2.37%,0.18%,"Himachal Pradesh"
SP,2.37%,0.16%,Haryana
SP,2.37%,0.15%,"Jammu & Kashmir"
SP,2.37%,0.15%,Gujarat
SP,2.37%,0.14%,"Tamil Nadu"
SP,2.37%,0.14%,"Andaman & Nicobar Islands"
SP,2.37%,0.13%,Karnataka
SP,2.37%,0.06%,Punjab
NTK,2.35%,NULL,NULL
AAAP,2.26%,21.42%,"NCT OF Delhi"
AAAP,2.26%,17.67%,Chandigarh
AAAP,2.26%,17.20%,Punjab
AAAP,2.26%,3.03%,Haryana
AAAP,2.26%,2.56%,Goa
AAAP,2.26%,1.69%,Mizoram
AAAP,2.26%,1.42%,Kerala
AAAP,2.26%,1.39%,"Andaman & Nicobar Islands"
AAAP,2.26%,1.35%,Maharashtra
