candidate,constituencies,per,party,state
"BHAN SINGH",GUNA,0.10%,UMK,"Tamil Nadu"
"RAM NIRANJAN ROY",Pataliputra,0.10%,RACHEP,Bihar
"Rajesh Chaubara",Sirsa,0.10%,RACHEP,Bihar
"KUMARAGURUBARAN, P.","Theni ",0.10%,RACHEP,Bihar
"Ramnath Priydarshi Suman",Phulpur,0.10%,rajpt,"Uttar Pradesh"
"RANJEET GOHAR",INDORE,0.10%,SaRaPa,Maharashtra
"Pundlik Baliram Rathod",Yavatmal-Washim,0.10%,SaRaPa,Maharashtra
"Ramarao Simhadri",Guntur,0.10%,SaRaPa,Maharashtra
"Bhamare Subash Shankar",Dhule,0.10%,PRJP,"Uttar Pradesh"
"GANESAN, M.",Thoothukkudi,0.10%,PRJP,"Uttar Pradesh"
"KHADER VALI SHAIK",Rajampet,0.10%,NaLP,"Uttar Pradesh"
"DESAI ISHVARBHAI MAHADEVBHAI",Banaskantha,0.10%,NaLP,"Uttar Pradesh"
"Makhtum khan. Hasanalikhan Sirdesai",Dharwad,0.10%,NaLP,"Uttar Pradesh"
PRASHANTHA.C,"Bangalore South",0.10%,NaLP,"Uttar Pradesh"
"ISTAKAR ALI",Baghpat,0.10%,NaLP,"Uttar Pradesh"
"HARISHCHANDRA DATTU PATIL",Parbhani,0.10%,SanS,Maharashtra
"Aware Siddheshwar Bharat",Madha,0.10%,SanS,Maharashtra
N.Vikraman,"Thiruvallur ",0.10%,ASaP,"Uttar Pradesh"
"ARIVAZHAGAN. P.",Dharmapuri,0.10%,ASaP,"Uttar Pradesh"
"RAGHU JANAGERE","Bangalore Rural",0.10%,ASaP,"Uttar Pradesh"
"Sanjay Bharatiya",Hardoi,0.10%,ASaP,"Uttar Pradesh"
"Subhash Kisanrao Patil",Aurangabad,0.10%,SJPT,"Madhya Pradesh"
"ARUN GAUTAM",REWA,0.10%,SJPT,"Madhya Pradesh"
"BHORANIYA SHOYABBHAI HASAMBHAI",Patan,0.10%,BSHSP,Chhattisgarh
"B V TIPPESWAMY GOSHALE",Davanagere,0.10%,BSHSP,Chhattisgarh
"VENKATESH BENDE","Dakshina Kannada",0.10%,BSHSP,Chhattisgarh
"Irfan Mo. Isahak",Dhule,0.10%,BSHSP,Chhattisgarh
"Jagdish Uddhavrao Wankhade",Wardha,0.10%,BSHSP,Chhattisgarh
"THAMARAI SELVAM. K","Tenkasi ",0.10%,BSHSP,Chhattisgarh
"SANDEEP TIWARI "RAJ"""",BILASPUR,0.10%,BSHSP,Chhattisgarh
"ISHWAR MANSUKH ISHU","NORTH WEST DELHI              ",0.10%,BSHSP,Chhattisgarh
"Shri Krishna",Farrukhabad,0.10%,MDKMGPH,"Uttar Pradesh"
"SAHIRAM RAWAT",Faridabad,0.10%,MDKMGPH,"Uttar Pradesh"
"BRITTO JAI SINGH M",Madurai,0.10%,MDKMGPH,"Uttar Pradesh"
"NARESH KUMAR DAHARIYA",JANJGIR-CHAMPA,0.10%,RGOP,Chhattisgarh
"Shivaji Narayanrao Kavthekar",Beed,0.10%,YJJP,Gujarat
Nimbaram,Jalore,0.10%,YJJP,Gujarat
"SIVAKUMAR P","Nagapattinam ",0.10%,YJJP,Gujarat
"Satendra Kumar Panda",Etah,0.10%,YJJP,Gujarat
"RAJIB KAKATI",Gauhati,0.10%,YJJP,Gujarat
"RAM NIVAS SEN",SATNA,0.10%,YJJP,Gujarat
"Pentapati Rajesh",Vizianagaram,0.10%,JaSSP,"Uttar Pradesh"
"Ravi Raj",Buxar,0.10%,JaSSP,"Uttar Pradesh"
"KISHORI LAL SHAKYA",BHIND,0.10%,JaSSP,"Uttar Pradesh"
"Bajrang Lal Meena","TONK-SAWAI MADHOPUR",0.10%,JaSSP,"Uttar Pradesh"
"Gaurav Kumar",Begusarai,0.10%,BaHaP,"Uttar Pradesh"
DILERAM,Moradabad,0.10%,BaHaP,"Uttar Pradesh"
"NARESH BAI JANGDE",JANJGIR-CHAMPA,0.10%,BaHaP,"Uttar Pradesh"
"RAMJI PRATAP JIGYASU",Salempur,0.10%,aicp,Gujarat
"Kamble Trishala Milind","Hingoli ",0.10%,aicp,Gujarat
"TRILOKI NARAYAN HATILA","Bikaner (SC)",0.10%,aicp,Gujarat
"RAMJI PRATAP JIGYASU",Salempur,0.10%,INL,"Uttar Pradesh"
"Kamble Trishala Milind","Hingoli ",0.10%,INL,"Uttar Pradesh"
"TRILOKI NARAYAN HATILA","Bikaner (SC)",0.10%,INL,"Uttar Pradesh"
"Dr. SHEKH SIRAJ BABA",Varanasi,0.10%,RMMP,"Uttar Pradesh"
"Prakash Vitthalrao Ghunnar","Hingoli ",0.10%,RMMP,"Uttar Pradesh"
"Chauhan Dayabhai Bhagvanbhai",Amreli,0.10%,RMMP,"Uttar Pradesh"
"Pravin Mahadeo Sarode","Amravati ",0.09%,ARPS,"Andhra Pradesh"
"M. Solomon","Tirupati ",0.09%,ARPS,"Andhra Pradesh"
"ARVINDBHAI BHANABHAI RATHOD",Bardoli,0.09%,ARPS,"Andhra Pradesh"
"RAJESH TANTRIK",CHHINDWARA,0.09%,ANSP,"Madhya Pradesh"
Pintoo,Lalganj,0.09%,BJNP,"Uttar Pradesh"
"DAULAT KUNWAR","Tehri Garhwal",0.09%,BJNP,"Uttar Pradesh"
Saji,Kasaragod,0.09%,BJNP,"Uttar Pradesh"
"Kanagaraj R T",Karur,0.09%,BJNP,"Uttar Pradesh"
"Pinjari Salim Kasam",Dhule,0.09%,ADRSP,"Uttar Pradesh"
"NARESH KUMAR",Ganganagar,0.09%,ADRSP,"Uttar Pradesh"
"D. SENTHAMARAI KANNAN","Cuddalore ",0.09%,ADRSP,"Uttar Pradesh"
"ANANDARAJ. M",Ramanathapuram,0.09%,ADRSP,"Uttar Pradesh"
"S. MOHAMED ALI JINNAH",Ramanathapuram,0.09%,ADRSP,"Uttar Pradesh"
"Satish Bahadur",Bhadohi,0.09%,ADRSP,"Uttar Pradesh"
"MANOJ KUMAR RANA",Maharajganj,0.09%,BSUSP,"Uttar Pradesh"
"KASHINATH MURMU",Srerampur,0.09%,BSUSP,"Uttar Pradesh"
"Chandra Shekhar Mahato",Jamshedpur,0.09%,BSUSP,"Uttar Pradesh"
"MATTA SATISH CHAKRAVARTHY",Srikakulam,0.09%,BSUSP,"Uttar Pradesh"
"MOHAN AYYAPPA","Ongole ",0.09%,BSUSP,"Uttar Pradesh"
"BHARGAV SURESHCHANDRA JOSHI",Porbandar,0.09%,GJPP,Gujarat
"Dr. RAMESH BABU. V.M.",Kolar,0.09%,GJPP,Gujarat
"Pravin Jain",RAIPUR,0.09%,GJPP,Gujarat
"JAGAT KUMAR SONI",Hazaribagh,0.09%,BHAZS,Jharkhand
"Shyam Deo Kurmi",Silchar,0.09%,BHAZS,Jharkhand
"MAHESH LAMBANI",Gulbarga,0.09%,BHAZS,Jharkhand
"Prahlad Singh S. Rajput",MANDSOUR,0.09%,BHAZS,Jharkhand
"Gurcharan Singh",Bathinda,0.09%,BHAZS,Jharkhand
N.KARTHICK,Sivaganga,0.09%,BHAZS,Jharkhand
"RAM SAGAR",Bahraich,0.09%,RJanPty,Maharashtra
"Sandip Bhau Nikhate","Hingoli ",0.09%,RJanPty,Maharashtra
"DIPAK KUMAR DAS","Jagatsinghpur ",0.09%,RJanPty,Maharashtra
"RAM SAGAR",Bahraich,0.09%,BPSJP,Maharashtra
"Sandip Bhau Nikhate","Hingoli ",0.09%,BPSJP,Maharashtra
"DIPAK KUMAR DAS","Jagatsinghpur ",0.09%,BPSJP,Maharashtra
"TIRBHUWAN SHARMA",Varanasi,0.09%,BRSP,"Uttar Pradesh"
"JASDEEP SINGH SODHI",Ludhiana,0.09%,AIP,Sikkim
"Shivbhagwan Sardiwal",Sikar,0.09%,AIP,Sikkim
"RABIN RAI",Sikkim,0.09%,AIP,Sikkim
PRAVINA.G,Salem,0.09%,BUNKD,"Uttar Pradesh"
"Hemant Kumar",Amethi,0.09%,BUNKD,"Uttar Pradesh"
"Shruti Agrawal",Jhansi,0.09%,BUNKD,"Uttar Pradesh"
"Anna Siva Chandra Reddy",Kadapa,0.09%,BUNKD,"Uttar Pradesh"
"S. Mohan Kumar","Bangalore central",0.09%,BUNKD,"Uttar Pradesh"
"REKHA BAI",GUNA,0.09%,BUNKD,"Uttar Pradesh"
"Gopal Swaroop Gandhi",Amethi,0.09%,KMBS,"Uttar Pradesh"
"Surendra Kumar Upadhayay",Hardwar,0.09%,KMBS,"Uttar Pradesh"
"D. SHARADHISHAYANA",Tumkur,0.09%,KMBS,"Uttar Pradesh"
"Narendra Babulal Kathane","Amravati ",0.09%,RND,"Uttar Pradesh"
"JASVEER SINGH",Mathura,0.09%,RND,"Uttar Pradesh"
"KHAN HEENABEGUM KAMRUDDIN",Navsari,0.09%,FDLP,Chhattisgarh
"RAMESH CHANDER KHATKAR",Kurukshetra,0.09%,FDLP,Chhattisgarh
"USMAN MOOSA SHAIKH",Thane,0.09%,FDLP,Chhattisgarh
"Deepak Shantaram Watvisave",Baramati,0.09%,FDLP,Chhattisgarh
"MOHAMMED ALLI",Balasore,0.09%,FDLP,Chhattisgarh
"MAHENDRA KUMAR SAHU",RAJNANDGAON,0.09%,FDLP,Chhattisgarh
"MAHESH CHANDRA SETHI",Bhubaneswar,0.09%,RP(K),Chhattisgarh
"Ganesan. P",Tiruchirappalli,0.09%,RP(K),Chhattisgarh
"PRATIMA SANTOSH WASHNIK",RAJNANDGAON,0.09%,RP(K),Chhattisgarh
"Ajaib Singh",Patiala,0.09%,NIDP,"Tamil Nadu"
"Nathuram Hate",Raigad,0.09%,JSEP,"Uttar Pradesh"
"PRAMILA BEHERA",Bhubaneswar,0.09%,JSEP,"Uttar Pradesh"
"GURBACHAN SINGH","Fatehgarh Sahib",0.09%,JSEP,"Uttar Pradesh"
"BALKAR SINGH",Firozpur,0.09%,JSEP,"Uttar Pradesh"
"LAXMAN KUMAR",Pali,0.09%,JSEP,"Uttar Pradesh"
RISHIPAL,Aonla,0.09%,JSEP,"Uttar Pradesh"
"NITYA DAS","Maldaha Uttar",0.09%,JSEP,"Uttar Pradesh"
"KATTA SRINIVAS","Khammam ",0.09%,JSEP,"Uttar Pradesh"
"Nathuram Hate",Raigad,0.09%,YSRPP,Telangana
"PRAMILA BEHERA",Bhubaneswar,0.09%,YSRPP,Telangana
"GURBACHAN SINGH","Fatehgarh Sahib",0.09%,YSRPP,Telangana
"BALKAR SINGH",Firozpur,0.09%,YSRPP,Telangana
"LAXMAN KUMAR",Pali,0.09%,YSRPP,Telangana
RISHIPAL,Aonla,0.09%,YSRPP,Telangana
"NITYA DAS","Maldaha Uttar",0.09%,YSRPP,Telangana
"KATTA SRINIVAS","Khammam ",0.09%,YSRPP,Telangana
"Anil Mahadeo Dhone","Ramtek ",0.09%,VMSKP,"Uttar Pradesh"
"Easudoss. S",Tiruchirappalli,0.09%,VMSKP,"Uttar Pradesh"
"MOHD. JAVED ANSARI",Gonda,0.09%,VMSKP,"Uttar Pradesh"
"K KALIMUTHU","Andaman & Nicobar Islands",0.09%,VMSKP,"Uttar Pradesh"
"MALHOTRA PANKAJKUMAR DAYABHAI (DOCTOR SAHEB)","Ahmedabad West",0.09%,VMSKP,"Uttar Pradesh"
"KIRTAN BIHARI MALIK","Bhadrak ",0.09%,RSDal,"Uttar Pradesh"
"KESHARI LAL",Kota,0.09%,RSDal,"Uttar Pradesh"
"GAMIT SURESHBHAI BABUBHAI",Bardoli,0.09%,RSDal,"Uttar Pradesh"
"Nagendra Kumar",Misrikh,0.09%,RSDal,"Uttar Pradesh"
"Santosh Kumari",Barabanki,0.09%,bmd,"Uttar Pradesh"
"COM. ASHOK KUMAR KHARWAR",Jaunpur,0.09%,bmd,"Uttar Pradesh"
"SRINIVAS GOUD KASALA",Zahirabad,0.09%,bmd,"Uttar Pradesh"
"THAKOR MAYURKUMAR RUPSINGJI",Mahesana,0.08%,BHPP,Karnataka
"JASPALSINH MAHAVEERSINH TOMAR",Rajkot,0.08%,BHPP,Karnataka
"SHANKAR JADHAV",Gulbarga,0.08%,BHPP,Karnataka
SUVITH,Thrissur,0.08%,BHPP,Karnataka
"VIKAS NAGVANSHI",DAMOH,0.08%,BHPP,Karnataka
KULDEEP,Bhadohi,0.08%,BHPP,Karnataka
"Fulchand Patidar",MANDSOUR,0.08%,BHPP,Karnataka
SHAHEEN,Aligarh,0.08%,BHPP,Karnataka
"Syed Aqib Hussain",Jammu,0.08%,INDPP,"Jammu & Kashmir"
"SANTHOSH MANDYA GOWDA",Mandya,0.08%,INDPP,"Jammu & Kashmir"
"Syed Aqib Hussain",Jammu,0.08%,EP,Karnataka
"SANTHOSH MANDYA GOWDA",Mandya,0.08%,EP,Karnataka
"KISHOR NAMDEV GAWARE",Parbhani,0.08%,ACP,"Andhra Pradesh"
"ANIL KUMAR KUSHWAHA","Fatehpur Sikri",0.08%,ACP,"Andhra Pradesh"
"RAM LAL MAHTO",Dhanbad,0.08%,ACP,"Andhra Pradesh"
"Chiranjeevi Lingala",Vizianagaram,0.08%,ACP,"Andhra Pradesh"
"Brij Pal Balmiki",Sirsa,0.08%,ACP,"Andhra Pradesh"
"Ganesh Shankar Chandode",Jalna,0.08%,ABHS,Maharashtra
"BHUPENDRA KUMAR",Hathras,0.08%,ABHS,Maharashtra
"SHARMILA JOHARI",CHANDIGARH,0.08%,RBCP,Maharashtra
"Purushottam Domaji Bhajghaware",Yavatmal-Washim,0.08%,RBCP,Maharashtra
"Milind Shankar Repe","Mumbai North",0.08%,RBCP,Maharashtra
"M. NAGANNA",Kurnool,0.08%,SDSP,"Uttar Pradesh"
"RAGHAVAN.T THAYYULLAYIL",Kozhikode,0.08%,SDSP,"Uttar Pradesh"
"SAMPAT KHANDU SAMINDAR",Shirdi,0.08%,NABMUP,"Uttar Pradesh"
"BHAKTA SEKHAR RAY",Bhubaneswar,0.08%,NABMUP,"Uttar Pradesh"
"Manmohan Singh","Anandpur Sahib",0.08%,NABMUP,"Uttar Pradesh"
"REENA DEVI",Bulandshahr,0.08%,NABMUP,"Uttar Pradesh"
"BOMMOJI. RAMAPPA. SIDDAPPA",Haveri,0.08%,NABMUP,"Uttar Pradesh"
SUBRAMANIAN,Chalakudy,0.08%,NABMUP,"Uttar Pradesh"
"MOHD. IRFAN JAVED QURESHI","CHANDNI CHOWK                 ",0.08%,NABMUP,"Uttar Pradesh"
"SAMPAT KHANDU SAMINDAR",Shirdi,0.08%,ESP,"NCT OF Delhi"
"BHAKTA SEKHAR RAY",Bhubaneswar,0.08%,ESP,"NCT OF Delhi"
"Manmohan Singh","Anandpur Sahib",0.08%,ESP,"NCT OF Delhi"
"REENA DEVI",Bulandshahr,0.08%,ESP,"NCT OF Delhi"
"BOMMOJI. RAMAPPA. SIDDAPPA",Haveri,0.08%,ESP,"NCT OF Delhi"
SUBRAMANIAN,Chalakudy,0.08%,ESP,"NCT OF Delhi"
"MOHD. IRFAN JAVED QURESHI","CHANDNI CHOWK                 ",0.08%,ESP,"NCT OF Delhi"
"RAMESH KUMAR SHARMA",Pataliputra,0.08%,SABJANP,"Uttar Pradesh"
"Sheikh Salmabanu Mohammad Salim","Ahmedabad East",0.08%,SABJANP,"Uttar Pradesh"
"M.C. DEVARAJU","Bangalore Rural",0.08%,SABJANP,"Uttar Pradesh"
"M. NATARAJAN",Arakkonam,0.08%,SABJANP,"Uttar Pradesh"
"JITENDRA SINGH","Gautam Buddha Nagar",0.08%,SABJANP,"Uttar Pradesh"
"SUNKARI RAJKUMAR",Nizamabad,0.08%,SABJANP,"Uttar Pradesh"
"ROHIT KUMAR KOSRE",MAHASAMUND,0.08%,USIP,"Tamil Nadu"
M.CHINNAIAH,Sivaganga,0.08%,USIP,"Tamil Nadu"
"SELVAGANESAN R",Tirunelveli,0.08%,USIP,"Tamil Nadu"
"Ajit Namdar Tadvi",Raver,0.08%,RAJSPty,Maharashtra
"Bhupinder Singh Bhainda Waring",Bathinda,0.08%,RAJSPty,Maharashtra
"GOMATI DHARAMPAL KATARIA",Churu,0.08%,RAJSPty,Maharashtra
"NARESHKUMAR RAMESHBHAI PATEL",Sabarkantha,0.08%,RAJSPty,Maharashtra
"MAHEEN THEVARUPARA",Attingal,0.08%,RAJSPty,Maharashtra
PARAS,Ghosi,0.08%,RAJSPty,Maharashtra
"Ajit Namdar Tadvi",Raver,0.08%,RJBVP,"Uttar Pradesh"
"Bhupinder Singh Bhainda Waring",Bathinda,0.08%,RJBVP,"Uttar Pradesh"
"GOMATI DHARAMPAL KATARIA",Churu,0.08%,RJBVP,"Uttar Pradesh"
"NARESHKUMAR RAMESHBHAI PATEL",Sabarkantha,0.08%,RJBVP,"Uttar Pradesh"
"MAHEEN THEVARUPARA",Attingal,0.08%,RJBVP,"Uttar Pradesh"
PARAS,Ghosi,0.08%,RJBVP,"Uttar Pradesh"
"Habib Gayas Shaikh",Aurangabad,0.08%,RJSNP,Manipur
"SENJAM NANDESHWORE SINGH","Inner manipur",0.08%,RJSNP,Manipur
"ZALA MUKESHBHAI BHARAMALBHAI",Junagadh,0.08%,RJSNP,Manipur
"PATEL KALIDAS (KALIDAS M. PATEL ALIAS NAPOLEON)",Vadodara,0.08%,RJSNP,Manipur
"Jitendra Kumar",Gorakhpur,0.08%,JD,"Uttar Pradesh"
"Dr. AKSHAY ANANT ZODGE",Thane,0.08%,JD,"Uttar Pradesh"
"Kamble Vishwas Ananda",Hatkanangle,0.08%,JD,"Uttar Pradesh"
M.PRABHAKARAN,Sivaganga,0.08%,JD,"Uttar Pradesh"
"Ajinath Laxman Kevate",Madha,0.08%,AnAP,"NCT OF Delhi"
UPENDRA,"NEW DELHI                     ",0.08%,AnAP,"NCT OF Delhi"
"Mohd Younis",Jammu,0.08%,JKPPAP,"Jammu & Kashmir"
"Sanju Kumar Yadav",RAIPUR,0.08%,JKPPAP,"Jammu & Kashmir"
"Ankit Mohan Chandak",Yavatmal-Washim,0.08%,RRS,"Andhra Pradesh"
"S.MD. SHAFATH",Kurnool,0.08%,RRS,"Andhra Pradesh"
"SAHDEVSINH DILIPSINH CHUDASAMA",Jamnagar,0.08%,RRS,"Andhra Pradesh"
"PRITAM SINGH BHATTI",Gurdaspur,0.08%,svjn,"Uttar Pradesh"
"SATDEV JAIN","CHANDNI CHOWK                 ",0.08%,svjn,"Uttar Pradesh"
"DARA SINGH",Hisar,0.08%,svjn,"Uttar Pradesh"
"Moda Ram Meghwal",Jodhpur,0.08%,bns,Maharashtra
"A.ANTONY SESU RAJA",Sivaganga,0.08%,HuSP,"Uttar Pradesh"
ANIL,Jaunpur,0.08%,HuSP,"Uttar Pradesh"
"PUNAM DEVI",Karakat,0.08%,HuSP,"Uttar Pradesh"
"SUDESH KUMAR",Gurgaon,0.08%,BJSPP,"Madhya Pradesh"
"SHUKHDEV DAHIYA",JABALPUR,0.08%,BJSPP,"Madhya Pradesh"
"ALETI RAJAREDDY",Nizamabad,0.08%,BJSPP,"Madhya Pradesh"
"Deepak Mahadav Tate",Osmanabad,0.08%,BEPP,Maharashtra
"SOHILKHAN HASHIMKHAN (Sohil Panchar)",Navsari,0.08%,BEPP,Maharashtra
"K . VENKATANARAYANA",Secundrabad,0.08%,BEPP,Maharashtra
"Madhu Sudan",Giridih,0.08%,JKPS,Jharkhand
"VINOD KUMAR","Fatehgarh Sahib",0.07%,jhspt,"Uttar Pradesh"
"SHIV CHARAN",Maharajganj,0.07%,jhspt,"Uttar Pradesh"
"Rajesh Maurya","Ahmedabad East",0.07%,PAP,Gujarat
"MANOJ M POOVAKKADU",Attingal,0.07%,PAP,Gujarat
"ASISH SINGHA",Baharampur,0.07%,PAP,Gujarat
"Dipankar Baidya",Barasat,0.07%,PAP,Gujarat
"Jogeshwar Thakur",Giridih,0.07%,PAP,Gujarat
"Bachi Singh",Hardwar,0.07%,PAP,Gujarat
"SUMAN YADAV","SOUTH DELHI                   ",0.07%,PAP,Gujarat
"Advocate Bapu Singh Gujar",MANDSOUR,0.07%,PAP,Gujarat
"Santosh Balasaheb Bichukale",Madha,0.07%,PAP,Gujarat
"S.S.K.S. Gangwal",Muzaffarnagar,0.07%,PAP,Gujarat
"CHANDRAPAL HASMUKH BAVJIBHAI",Gandhinagar,0.07%,JSP,"Uttar Pradesh"
"AMARDAS B. DESANI",Rajkot,0.07%,JSP,"Uttar Pradesh"
"GOPAL NASKAR",Jadavpur,0.07%,JSP,"Uttar Pradesh"
"P. Purushotham",CHEVELLA,0.07%,JSP,"Uttar Pradesh"
"Com. BANDU RAMCHANDRA MESHRAM","Ramtek ",0.07%,JSP,"Uttar Pradesh"
"Mannan M P",Kallakurichi,0.07%,JSP,"Uttar Pradesh"
"SHER AFGAN",Faizabad,0.07%,NavaP,"Andhra Pradesh"
"KARIMULLA KHAN PATTAN",Rajampet,0.07%,NavaP,"Andhra Pradesh"
"DURGESH NANDAN SINGH alias DURGESH YADAV",Pataliputra,0.07%,NavaP,"Andhra Pradesh"
"T SASI",Thiruvananthapuram,0.07%,NavaP,"Andhra Pradesh"
"SHER AFGAN",Faizabad,0.07%,RJPD,Bihar
"KARIMULLA KHAN PATTAN",Rajampet,0.07%,RJPD,Bihar
"DURGESH NANDAN SINGH alias DURGESH YADAV",Pataliputra,0.07%,RJPD,Bihar
"T SASI",Thiruvananthapuram,0.07%,RJPD,Bihar
"P.RADHA KRISHNA",Anantapur,0.07%,RD,"Andhra Pradesh"
"AMIT KUMAR GUPTA","Patna Sahib",0.07%,RD,"Andhra Pradesh"
"RANK JIGNESHBHAI GOVINDBHAI",Porbandar,0.07%,RD,"Andhra Pradesh"
"MO. ATEEQ",Aonla,0.07%,RD,"Andhra Pradesh"
"P.RADHA KRISHNA",Anantapur,0.07%,NFFF,"Uttar Pradesh"
"AMIT KUMAR GUPTA","Patna Sahib",0.07%,NFFF,"Uttar Pradesh"
"RANK JIGNESHBHAI GOVINDBHAI",Porbandar,0.07%,NFFF,"Uttar Pradesh"
"MO. ATEEQ",Aonla,0.07%,NFFF,"Uttar Pradesh"
"Md. Hanif",Pilibhit,0.07%,BRKP(D),Rajasthan
"Raju Verma",Misrikh,0.07%,BRKP(D),Rajasthan
"GOPAL RAUT",Barrackpore,0.07%,BRKP(D),Rajasthan
"Kashinath Das","Kolkata Dakshin",0.07%,BRKP(D),Rajasthan
"Chandramohan M",Kallakurichi,0.07%,BRKP(D),Rajasthan
"Md. Hanif",Pilibhit,0.07%,VMMKT,"Tamil Nadu"
"Raju Verma",Misrikh,0.07%,VMMKT,"Tamil Nadu"
"GOPAL RAUT",Barrackpore,0.07%,VMMKT,"Tamil Nadu"
"Kashinath Das","Kolkata Dakshin",0.07%,VMMKT,"Tamil Nadu"
"Chandramohan M",Kallakurichi,0.07%,VMMKT,"Tamil Nadu"
"SATHI VEERALAKSHMI",Kakinada,0.07%,RVZP,Gujarat
"MAYURSINH VANRAJSINH ZALA",Sabarkantha,0.07%,RVZP,Gujarat
"VIKRAM SINGH",Kurukshetra,0.07%,RVZP,Gujarat
"Mukesh Rajesh Kuril",Jalgaon,0.07%,RVZP,Gujarat
"Bansilal Kataria",Sikar,0.07%,RVZP,Gujarat
"Vinay Kumar Varma",Jaipur,0.07%,RVZP,Gujarat
"RAJENDRA MARUTI KATE (PATIL)",Maval,0.07%,BhaRP,Chandigarh
"Jagdish Prasad Gautam",Mohanlalganj,0.07%,BhaRP,Chandigarh
"SUBHASH CHANDRA DOHRE",Kannauj,0.07%,BhaRP,Chandigarh
"SARABJEET SINGH SOHAL",CHANDIGARH,0.07%,BhaRP,Chandigarh
SATISH,Bulandshahr,0.07%,MSJP,"Uttar Pradesh"
"MUFTI SHIAK ABDUL GAFFAR",Bidar,0.07%,MSJP,"Uttar Pradesh"
Dasharath,Machhlishahr,0.07%,MSJP,"Uttar Pradesh"
"SOLIPURAM VENUGOPAL REDDY",Nalgonda,0.07%,MSJP,"Uttar Pradesh"
SATISH,Bulandshahr,0.07%,BBPP,"Uttar Pradesh"
"MUFTI SHIAK ABDUL GAFFAR",Bidar,0.07%,BBPP,"Uttar Pradesh"
Dasharath,Machhlishahr,0.07%,BBPP,"Uttar Pradesh"
"SOLIPURAM VENUGOPAL REDDY",Nalgonda,0.07%,BBPP,"Uttar Pradesh"
"Ikram Saifi",RAIPUR,0.07%,VIP,"Uttar Pradesh"
"KAMAL DASHRATH SAWANT","Ahmadnagar ",0.07%,VIP,"Uttar Pradesh"
"ONKAR SINGH UPPAL","Khadoor Sahib",0.07%,VIP,"Uttar Pradesh"
"P.S. SURESH",Arakkonam,0.07%,VIP,"Uttar Pradesh"
"Nagarajan S",Kallakurichi,0.07%,VIP,"Uttar Pradesh"
"JOSE THOMAS",Chalakudy,0.07%,VIP,"Uttar Pradesh"
"KAPIL YASHWANT DHAMANE",Bhiwandi,0.07%,kajp,"Uttar Pradesh"
"MADHU SUDAN YADAV",Bhubaneswar,0.07%,kajp,"Uttar Pradesh"
"UTHAMASELVAN, N.",Perambalur,0.07%,kajp,"Uttar Pradesh"
"Mahesh Shrivastav",Badaun,0.07%,kajp,"Uttar Pradesh"
KAPANIGOWDA,Tumkur,0.07%,kajp,"Uttar Pradesh"
"MURALEEDHARAN.K SANDRAM",Vadakara,0.07%,kajp,"Uttar Pradesh"
"PARDEEP BAWA",Ludhiana,0.07%,AHIMSASP,"Tamil Nadu"
"Bimla Devi Meena",Dausa,0.07%,AHIMSASP,"Tamil Nadu"
"RAMESH T",Namakkal,0.07%,AHIMSASP,"Tamil Nadu"
"GANESHAMOORTHY M",Erode,0.07%,AHIMSASP,"Tamil Nadu"
"Vadiraj Mannari Madhusudhan (Pandurangi)",Dharwad,0.07%,AHIMSASP,"Tamil Nadu"
Raja,Agra,0.07%,RVyP,"Uttar Pradesh"
"Ashitava Dutta",Silchar,0.07%,HIMJKP,"Himachal Pradesh"
"Subhash Chand",Kangra,0.07%,HIMJKP,"Himachal Pradesh"
"NEERADI PRAVEEN",Nizamabad,0.07%,HIMJKP,"Himachal Pradesh"
"NAGESWARA RAO LAKAVATH","Khammam ",0.07%,HIMJKP,"Himachal Pradesh"
"Anita Kiran Patole","Mumbai South central",0.07%,RaAD,"Uttar Pradesh"
"Anil Joya Meghwal",Jodhpur,0.07%,RaAD,"Uttar Pradesh"
"RAJESH BHARTI SURYA",Varanasi,0.07%,RaAD,"Uttar Pradesh"
"Sant Shri Baba Mahahansaji Maharaj Patil ",Jalgaon,0.07%,BHJMP,"Madhya Pradesh"
"Nilesh Anandrao Patil","Amravati ",0.07%,BHJMP,"Madhya Pradesh"
"Sathishkumar A",Kallakurichi,0.07%,BHJMP,"Madhya Pradesh"
"RAJESH KUMAR","Patna Sahib",0.07%,BHJMP,"Madhya Pradesh"
NOTA,Anantnag,0.07%,BHJMP,"Madhya Pradesh"
"DR. RAJENDRA TRIPATHI",SATNA,0.07%,BHJMP,"Madhya Pradesh"
"HARISH CHANDRA SAHU",BILASPUR,0.07%,BHJMP,"Madhya Pradesh"
"JANAIAH NANDIPATI",Nalgonda,0.07%,TSP,Telangana
"Gade Vinod Milind","Amravati ",0.07%,TSP,Telangana
"Manjit Kaur",Bathinda,0.07%,TSP,Telangana
"Comrade Om Parkash",Bhiwani-Mahendragarh,0.07%,TSP,Telangana
"HARI CHAND",Faridabad,0.07%,TSP,Telangana
"Awadhesh Kumar Singh",Gorakhpur,0.07%,SHF,"Uttar Pradesh"
"CHALLA RAM KALYAN",Secundrabad,0.07%,SHF,"Uttar Pradesh"
"Pradeep Mendonca","Bangalore central",0.07%,SHF,"Uttar Pradesh"
"RAJEEV NAGAN",Ernakulam,0.07%,SHF,"Uttar Pradesh"
"Pro. Dnyanesh Wakudkar",Wardha,0.07%,LJGP,Maharashtra
